capability,status,level,evidence,next_gate
data_tables_diagrams,NEW,0,"навык ещё не диагностировался",прочитать и построить таблицу столбчатую или круговую диаграмму и сделать два содержательных вывода
statistical_measures,NEW,0,"навык ещё не диагностировался",найти среднее арифметическое медиану минимум максимум и размах и выбрать уместную характеристику
advanced_statistical_measures,NEW,0,"квартили и среднее гармоническое ещё не диагностировались",найти квартиль и среднее гармоническое и объяснить когда они информативнее обычного среднего
random_variability_grouping,NEW,0,"случайная изменчивость группировка данных гистограмма и статистическая устойчивость ещё не диагностировались",сгруппировать реальные данные построить гистограмму и отделить тенденцию от случайного колебания
graph_models,NEW,0,"навык ещё не диагностировался",использовать вершины рёбра степени связность цепи циклы и эйлеров путь в рассуждении
graph_path_enumeration,NEW,0,"полный перебор путей в ориентированном графе ещё не диагностировался",посчитать пути систематически и обосновать полноту без повторного счёта
logic_statements,NEW,0,"отрицание условные обратные и равносильные утверждения необходимые и достаточные условия ещё не диагностировались",построить отрицание и обратное утверждение найти контрпример и провести доказательство от противного
random_experiment_outcomes,NEW,0,"навык ещё не диагностировался",описать случайный эксперимент его исходы и событие без смешения этих понятий
relative_frequency,NEW,0,"навык ещё не диагностировался",по серии испытаний вычислить частоту события и объяснить статистическую устойчивость
classical_probability,NEW,0,"модели монеты и игральной кости ещё не диагностировались",сравнить теоретическую вероятность с наблюдаемой частотой и объяснить расхождение
